committee,date,status
City Council,2015-04-15T15:00:00+00:00,recorded
City Council,2015-05-06T15:00:00+00:00,recorded
City Council,2015-05-20T15:00:00+00:00,recorded
City Council,2015-06-17T15:00:00+00:00,recorded
City Council,2015-10-21T15:00:00+00:00,recorded
City Council,2015-10-28T15:00:00+00:00,recorded
City Council,2015-11-18T16:00:00+00:00,recorded
City Council,2015-12-09T15:00:00+00:00,recorded
City Council,2015-12-09T16:00:00+00:00,recorded
City Council,2016-01-13T16:00:00+00:00,recorded
City Council,2016-02-10T16:00:00+00:00,recorded
City Council,2016-03-16T15:00:00+00:00,recorded
City Council,2016-04-13T15:00:00+00:00,recorded
City Council,2016-05-18T15:00:00+00:00,recorded
City Council,2016-06-22T15:00:00+00:00,recorded
City Council,2016-07-20T15:00:00+00:00,recorded
City Council,2016-09-14T14:30:00+00:00,recorded
City Council,2016-09-14T15:00:00+00:00,recorded
City Council,2016-10-05T15:00:00+00:00,recorded
City Council,2016-10-11T16:00:00+00:00,recorded
City Council,2016-11-01T15:00:00+00:00,recorded
City Council,2016-11-09T16:00:00+00:00,recorded
City Council,2016-11-16T16:00:00+00:00,recorded
City Council,2016-11-30T16:00:00+00:00,recorded
City Council,2016-12-14T16:00:00+00:00,recorded
City Council,2017-01-25T16:00:00+00:00,recorded
City Council,2011-02-09T16:00:00+00:00,not recorded
City Council,2011-03-09T16:00:00+00:00,not recorded
City Council,2011-05-04T15:00:00+00:00,not recorded
City Council,2011-05-16T15:30:00+00:00,not recorded
City Council,2015-05-18T15:30:00+00:00,not recorded
City Council,2015-07-29T15:00:00+00:00,not recorded
City Council,2015-09-22T15:00:00+00:00,not recorded
City Council,2015-09-24T15:00:00+00:00,not recorded
City Council,2015-10-14T15:00:00+00:00,not recorded
City Council,2016-09-14T14:30:00+00:00,not recorded
Committee on Aviation,2011-03-08T20:00:00+00:00,recorded
Committee on Aviation,2011-05-03T14:30:00+00:00,recorded
Committee on Aviation,2011-06-30T15:00:00+00:00,recorded
Committee on Aviation,2011-07-21T17:00:00+00:00,recorded
Committee on Aviation,2011-11-01T15:00:00+00:00,recorded
Committee on Aviation,2012-04-16T15:00:00+00:00,recorded
Committee on Aviation,2012-05-07T15:00:00+00:00,recorded
Committee on Aviation,2012-06-20T14:00:00+00:00,recorded
Committee on Aviation,2012-09-26T15:00:00+00:00,recorded
Committee on Aviation,2012-11-20T15:30:00+00:00,recorded
Committee on Aviation,2013-02-06T17:00:00+00:00,recorded
Committee on Aviation,2013-04-02T14:00:00+00:00,recorded
Committee on Aviation,2013-05-01T15:00:00+00:00,recorded
Committee on Aviation,2013-06-24T16:00:00+00:00,recorded
Committee on Aviation,2013-11-08T15:00:00+00:00,recorded
Committee on Aviation,2013-11-22T17:00:00+00:00,recorded
Committee on Aviation,2014-09-03T14:30:00+00:00,recorded
Committee on Aviation,2014-12-08T16:00:00+00:00,recorded
Committee on Aviation,2015-01-20T17:00:00+00:00,recorded
Committee on Aviation,2015-06-16T15:00:00+00:00,recorded
Committee on Aviation,2015-11-12T17:00:00+00:00,recorded
Committee on Aviation,2016-03-10T16:00:00+00:00,recorded
Committee on Aviation,2016-04-06T18:00:00+00:00,recorded
Committee on Aviation,2016-06-15T15:00:00+00:00,recorded
Committee on Aviation,2011-12-06T18:00:00+00:00,not recorded
Committee on Aviation,2012-12-06T16:00:00+00:00,not recorded
Committee on Aviation,2012-12-11T17:00:00+00:00,not recorded
Committee on Aviation,2015-07-28T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-03-08T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-04-12T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-06-07T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-06-23T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-07-26T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-09-06T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-10-03T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-10-31T14:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-10-31T14:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-11-07T19:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-11-14T19:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-01-17T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-02-14T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-03-13T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-04-17T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-05-08T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-06-26T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-07-24T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-09-10T14:30:00+00:00,recorded
Committee on Budget and Government Operations,2012-10-02T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-10-26T14:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-11-07T19:00:00+00:00,recorded
Committee on Budget and Government Operations,2012-12-11T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-01-16T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-02-11T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-03-12T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-04-09T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-05-07T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-06-04T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-06-25T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-07-23T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-10-15T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-11-08T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2013-11-18T19:00:00+00:00,recorded
Committee on Budget and Government Operations,2014-10-31T14:00:00+00:00,recorded
Committee on Budget and Government Operations,2015-10-09T14:00:00+00:00,recorded
Committee on Budget and Government Operations,2015-10-19T18:00:00+00:00,recorded
Committee on Budget and Government Operations,2015-12-08T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-01-12T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-02-09T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-03-10T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-04-12T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-05-17T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-06-21T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-07-19T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-09-13T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-10-04T15:00:00+00:00,recorded
Committee on Budget and Government Operations,2016-11-07T19:00:00+00:00,recorded
Committee on Budget and Government Operations,2017-01-24T16:00:00+00:00,recorded
Committee on Budget and Government Operations,2011-05-03T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-19T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-20T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-21T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-24T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-25T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-26T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-27T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2011-10-28T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-06-05T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-16T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-17T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-18T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-19T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-22T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-23T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-24T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-25T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2012-10-26T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-09-10T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-10-28T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-10-29T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-10-30T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-10-31T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-01T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-04T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-05T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-06T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-07T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-08T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-11-25T19:00:00+00:00,not recorded
Committee on Budget and Government Operations,2013-12-10T19:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-01-14T16:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-02-04T16:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-03-04T16:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-04-01T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-04-29T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-05-27T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-06-24T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-07-29T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-09-09T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-06T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-20T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-21T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-22T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-23T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-24T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-27T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-28T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-29T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-30T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-10-31T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-11-10T19:00:00+00:00,not recorded
Committee on Budget and Government Operations,2014-12-09T15:30:00+00:00,not recorded
Committee on Budget and Government Operations,2015-01-20T15:30:00+00:00,not recorded
Committee on Budget and Government Operations,2015-03-16T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-04-14T14:30:00+00:00,not recorded
Committee on Budget and Government Operations,2015-05-05T14:30:00+00:00,not recorded
Committee on Budget and Government Operations,2015-06-16T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-07-28T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-09-21T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-09-28T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-09-29T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-09-30T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-01T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-02T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-05T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-06T18:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-07T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-08T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-09T14:00:00+00:00,not recorded
Committee on Budget and Government Operations,2015-10-26T18:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-17T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-18T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-19T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-20T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-21T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-24T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-25T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-26T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-27T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-10-28T15:00:00+00:00,not recorded
Committee on Budget and Government Operations,2016-12-13T16:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2011-06-08T14:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2011-07-06T14:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2011-07-27T17:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2011-09-08T14:30:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2011-11-14T19:30:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-05-07T15:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-06-27T14:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-07-18T18:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-09-11T19:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-10-02T14:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-10-30T14:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2012-11-15T15:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2013-01-16T17:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2013-04-24T18:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2013-06-26T14:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2015-03-17T18:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2015-12-01T16:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2016-01-11T19:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2016-06-06T15:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2016-07-12T15:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2017-01-17T16:00:00+00:00,recorded
"Committee on Committees, Rules and Ethics",2011-04-13T14:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-10-05T14:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-01T18:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-02T23:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-03T23:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-09T00:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-10T00:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-15T00:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2011-11-17T16:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-01-12T00:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-01-13T00:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-01-17T19:30:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-01-19T00:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-02-14T19:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-03-14T14:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-04-18T14:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-07-24T16:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2012-07-24T18:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2013-02-07T18:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2013-02-11T19:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2013-02-13T15:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2013-07-24T14:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2013-09-11T14:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2013-12-11T15:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2014-04-02T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2014-04-30T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2014-07-30T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2014-10-07T18:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2014-11-03T19:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2015-06-17T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2015-07-27T15:00:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2016-04-12T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2016-04-13T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2016-07-20T14:15:00+00:00,not recorded
"Committee on Committees, Rules and Ethics",2016-10-05T14:15:00+00:00,not recorded
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2011-05-03T15:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2011-08-31T14:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2011-09-28T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2011-10-26T16:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2011-12-12T16:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-01-11T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-02-14T15:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-04-16T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-06-21T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-07-19T15:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-09-10T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2012-10-23T15:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-02-05T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-05-06T16:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-05-30T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-07-16T15:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-09-09T16:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-09-10T16:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-10-10T14:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-11-04T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2013-12-09T19:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-03-31T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-04-28T18:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-05-21T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-06-24T16:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-07-28T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-09-04T14:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-10-06T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2014-10-23T14:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-01-13T19:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-04-13T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-05-05T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-06-16T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-07-20T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-10-13T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-10-26T16:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-11-17T19:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-12-07T19:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-01-11T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-03-08T19:30:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-05-16T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-06-14T16:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-09-07T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-09-28T18:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2016-12-07T17:00:00+00:00,recorded
"Committee on Economic, Capital and Technology Development",2015-08-24T18:30:00+00:00,not recorded
"Committee on Economic, Capital and Technology Development",2015-09-23T22:30:00+00:00,not recorded
"Committee on Economic, Capital and Technology Development",2016-04-11T18:30:00+00:00,not recorded
"Committee on Economic, Capital and Technology Development",2016-07-19T17:00:00+00:00,not recorded
Committee on Education and Child Development,2011-09-28T15:00:00+00:00,recorded
Committee on Education and Child Development,2012-02-22T16:00:00+00:00,recorded
Committee on Education and Child Development,2012-03-06T16:00:00+00:00,recorded
Committee on Education and Child Development,2012-05-02T15:00:00+00:00,recorded
Committee on Education and Child Development,2012-05-30T15:00:00+00:00,recorded
Committee on Education and Child Development,2012-07-18T15:00:00+00:00,recorded
Committee on Education and Child Development,2012-11-20T16:00:00+00:00,recorded
Committee on Education and Child Development,2013-11-04T16:00:00+00:00,recorded
Committee on Education and Child Development,2014-04-22T15:00:00+00:00,recorded
Committee on Education and Child Development,2014-07-15T15:00:00+00:00,recorded
Committee on Education and Child Development,2014-09-08T16:30:00+00:00,recorded
Committee on Education and Child Development,2014-12-01T17:00:00+00:00,recorded
Committee on Education and Child Development,2015-05-04T17:00:00+00:00,recorded
Committee on Education and Child Development,2015-06-29T15:00:00+00:00,recorded
Committee on Education and Child Development,2015-10-05T15:00:00+00:00,recorded
Committee on Education and Child Development,2016-08-31T17:00:00+00:00,recorded
Committee on Education and Child Development,2011-06-02T15:00:00+00:00,not recorded
Committee on Education and Child Development,2012-02-21T16:00:00+00:00,not recorded
Committee on Education and Child Development,2012-09-24T15:00:00+00:00,not recorded
Committee on Education and Child Development,2013-04-03T16:00:00+00:00,not recorded
Committee on Education and Child Development,2013-08-09T15:00:00+00:00,not recorded
Committee on Education and Child Development,2014-02-26T16:00:00+00:00,not recorded
Committee on Education and Child Development,2014-04-22T15:00:00+00:00,not recorded
Committee on Education and Child Development,2015-07-10T15:30:00+00:00,not recorded
Committee on Education and Child Development,2015-11-09T17:00:00+00:00,not recorded
Committee on Education and Child Development,2016-06-27T16:00:00+00:00,not recorded
Committee on Finance,2011-02-07T16:00:00+00:00,recorded
Committee on Finance,2011-04-11T15:30:00+00:00,recorded
Committee on Finance,2011-05-02T15:00:00+00:00,recorded
Committee on Finance,2011-06-06T16:00:00+00:00,recorded
Committee on Finance,2011-06-22T15:00:00+00:00,recorded
Committee on Finance,2011-07-06T14:00:00+00:00,recorded
Committee on Finance,2011-07-27T15:00:00+00:00,recorded
Committee on Finance,2011-09-07T15:00:00+00:00,recorded
Committee on Finance,2011-10-04T17:00:00+00:00,recorded
Committee on Finance,2011-11-01T15:00:00+00:00,recorded
Committee on Finance,2011-11-07T16:00:00+00:00,recorded
Committee on Finance,2011-12-12T16:00:00+00:00,recorded
Committee on Finance,2012-01-17T17:00:00+00:00,recorded
Committee on Finance,2012-02-14T17:00:00+00:00,recorded
Committee on Finance,2012-03-12T16:00:00+00:00,recorded
Committee on Finance,2012-03-12T16:00:00+00:00,recorded
Committee on Finance,2012-04-16T15:00:00+00:00,recorded
Committee on Finance,2012-05-07T15:00:00+00:00,recorded
Committee on Finance,2012-05-07T15:00:00+00:00,recorded
Committee on Finance,2012-06-04T15:00:00+00:00,recorded
Committee on Finance,2012-06-22T15:00:00+00:00,recorded
Committee on Finance,2012-07-20T15:00:00+00:00,recorded
Committee on Finance,2012-07-23T15:00:00+00:00,recorded
Committee on Finance,2012-09-10T15:00:00+00:00,recorded
Committee on Finance,2012-10-02T16:30:00+00:00,recorded
Committee on Finance,2012-10-30T15:00:00+00:00,recorded
Committee on Finance,2012-11-07T16:00:00+00:00,recorded
