alderman,quarters,Meetings_Attended,Total_Meetings,Attendance %
"Burnett, Jr., Walter",22,11,16,0.6875
"Burnett, Jr., Walter",23,13,16,0.8125
"Burnett, Jr., Walter",24,13,17,0.764705882
"Burns, William D.",3,11,11,1
"Burns, William D.",4,9,14,0.642857143
"Burns, William D.",5,7,11,0.636363636
"Burns, William D.",6,11,19,0.578947368
"Burns, William D.",7,8,14,0.571428571
"Burns, William D.",8,6,15,0.4
"Burns, William D.",9,4,9,0.444444444
"Burns, William D.",10,7,16,0.4375
"Burns, William D.",11,2,6,0.333333333
"Burns, William D.",12,10,12,0.833333333
"Burns, William D.",13,11,14,0.785714286
"Burns, William D.",14,5,10,0.5
"Burns, William D.",15,5,8,0.625
"Burns, William D.",16,11,15,0.733333333
"Burns, William D.",17,3,7,0.428571429
"Burns, William D.",18,9,16,0.5625
"Burns, William D.",19,0,2,0
"Burns, William D.",20,8,15,0.533333333
"Burns, William D.",21,5,10,0.5
"Cappleman, James",3,15,15,1
"Cappleman, James",4,15,21,0.714285714
"Cappleman, James",5,12,17,0.705882353
"Cappleman, James",6,14,22,0.636363636
"Cappleman, James",7,5,16,0.3125
"Cappleman, James",8,4,16,0.25
"Cappleman, James",9,10,14,0.714285714
"Cappleman, James",10,14,19,0.736842105
"Cappleman, James",11,8,10,0.8
"Cappleman, James",12,6,15,0.4
"Cappleman, James",13,9,14,0.642857143
"Cappleman, James",14,10,13,0.769230769
"Cappleman, James",15,9,9,1
"Cappleman, James",16,4,11,0.363636364
"Cappleman, James",17,8,10,0.8
"Cappleman, James",18,12,14,0.857142857
"Cappleman, James",19,2,2,1
"Cappleman, James",20,9,12,0.75
"Cappleman, James",21,12,16,0.75
"Cappleman, James",22,10,14,0.714285714
"Cappleman, James",23,10,13,0.769230769
"Cappleman, James",24,10,12,0.833333333
"Cardenas, George A.",3,16,17,0.941176471
"Cardenas, George A.",4,3,17,0.176470588
"Cardenas, George A.",5,2,15,0.133333333
"Cardenas, George A.",6,3,20,0.15
"Cardenas, George A.",7,3,14,0.214285714
"Cardenas, George A.",8,3,17,0.176470588
"Cardenas, George A.",9,5,12,0.416666667
"Cardenas, George A.",10,7,19,0.368421053
"Cardenas, George A.",11,3,9,0.333333333
"Cardenas, George A.",12,2,17,0.117647059
"Cardenas, George A.",13,4,12,0.333333333
"Cardenas, George A.",14,3,12,0.25
"Cardenas, George A.",15,0,9,0
"Cardenas, George A.",16,2,12,0.166666667
"Cardenas, George A.",17,1,8,0.125
"Cardenas, George A.",18,7,16,0.4375
"Cardenas, George A.",19,1,3,0.333333333
"Cardenas, George A.",20,8,16,0.5
"Cardenas, George A.",21,6,16,0.375
"Cardenas, George A.",22,7,15,0.466666667
"Cardenas, George A.",23,10,16,0.625
"Cardenas, George A.",24,9,13,0.692307692
"Chandler, Michael D.",3,8,10,0.8
"Chandler, Michael D.",4,0,15,0
"Chandler, Michael D.",5,0,15,0
"Chandler, Michael D.",6,3,15,0.2
"Chandler, Michael D.",7,0,13,0
"Chandler, Michael D.",8,7,14,0.5
"Chandler, Michael D.",9,9,12,0.75
"Chandler, Michael D.",10,7,16,0.4375
"Chandler, Michael D.",11,4,9,0.444444444
"Chandler, Michael D.",12,2,14,0.142857143
"Chandler, Michael D.",13,4,14,0.285714286
"Chandler, Michael D.",14,3,12,0.25
"Chandler, Michael D.",15,0,8,0
"Chandler, Michael D.",16,1,9,0.111111111
"Chandler, Michael D.",17,1,6,0.166666667
"Chandler, Michael D.",18,2,8,0.25
"Cochran, Willie",3,17,18,0.944444444
"Cochran, Willie",4,11,19,0.578947368
"Cochran, Willie",5,9,14,0.642857143
"Cochran, Willie",6,16,21,0.761904762
"Cochran, Willie",7,8,16,0.5
"Cochran, Willie",8,5,18,0.277777778
"Cochran, Willie",9,9,14,0.642857143
"Cochran, Willie",10,11,22,0.5
"Cochran, Willie",11,8,11,0.727272727
"Cochran, Willie",12,9,20,0.45
"Cochran, Willie",13,7,12,0.583333333
"Cochran, Willie",14,8,13,0.615384615
"Cochran, Willie",15,5,9,0.555555556
"Cochran, Willie",16,4,11,0.363636364
"Cochran, Willie",17,5,9,0.555555556
"Cochran, Willie",18,10,13,0.769230769
"Cochran, Willie",19,2,2,1
"Cochran, Willie",20,12,16,0.75
"Cochran, Willie",21,13,16,0.8125
"Cochran, Willie",22,11,16,0.6875
"Cochran, Willie",23,8,13,0.615384615
"Cochran, Willie",24,13,15,0.866666667
"Colon, Rey",3,15,18,0.833333333
"Colon, Rey",4,6,17,0.352941176
"Colon, Rey",5,6,19,0.315789474
"Colon, Rey",6,8,21,0.380952381
"Colon, Rey",7,8,16,0.5
"Colon, Rey",8,6,17,0.352941176
"Colon, Rey",9,0,9,0
"Colon, Rey",10,11,18,0.611111111
"Colon, Rey",11,5,9,0.555555556
"Colon, Rey",12,7,18,0.388888889
"Colon, Rey",13,9,16,0.5625
"Colon, Rey",14,12,15,0.8
"Colon, Rey",15,7,13,0.538461538
"Colon, Rey",16,5,15,0.333333333
"Colon, Rey",17,3,9,0.333333333
"Colon, Rey",18,4,14,0.285714286
"Cullerton, Timothy M.",3,17,17,1
"Cullerton, Timothy M.",4,16,19,0.842105263
"Cullerton, Timothy M.",5,14,16,0.875
"Cullerton, Timothy M.",6,19,23,0.826086957
"Cullerton, Timothy M.",7,15,17,0.882352941
"Cullerton, Timothy M.",8,16,16,1
"Cullerton, Timothy M.",9,15,16,0.9375
"Cullerton, Timothy M.",10,21,23,0.913043478
"Cullerton, Timothy M.",11,10,11,0.909090909
"Cullerton, Timothy M.",12,17,18,0.944444444
"Cullerton, Timothy M.",13,12,14,0.857142857
"Cullerton, Timothy M.",14,12,13,0.923076923
"Cullerton, Timothy M.",15,8,11,0.727272727
"Cullerton, Timothy M.",16,7,13,0.538461538
"Cullerton, Timothy M.",17,7,11,0.636363636
"Cullerton, Timothy M.",18,9,10,0.9
"Curtis, Derrick G.",18,2,2,1
"Curtis, Derrick G.",19,0,2,0
"Curtis, Derrick G.",20,3,7,0.428571429
"Curtis, Derrick G.",21,8,9,0.888888889
"Curtis, Derrick G.",22,5,9,0.555555556
"Curtis, Derrick G.",23,8,10,0.8
"Curtis, Derrick G.",24,10,11,0.909090909
"Dowell, Pat",3,16,17,0.941176471
"Dowell, Pat",4,14,16,0.875
"Dowell, Pat",5,13,15,0.866666667
"Dowell, Pat",6,18,23,0.782608696
"Dowell, Pat",7,11,15,0.733333333
"Dowell, Pat",8,9,17,0.529411765
"Dowell, Pat",9,10,13,0.769230769
"Dowell, Pat",10,17,22,0.772727273
"Dowell, Pat",11,7,8,0.875
"Dowell, Pat",12,12,19,0.631578947
"Dowell, Pat",13,10,11,0.909090909
"Dowell, Pat",14,9,11,0.818181818
"Dowell, Pat",15,9,9,1
"Dowell, Pat",16,11,14,0.785714286
"Dowell, Pat",17,6,9,0.666666667
"Dowell, Pat",18,13,15,0.866666667
"Dowell, Pat",19,1,1,1
"Dowell, Pat",20,12,15,0.8
"Dowell, Pat",21,12,14,0.857142857
"Dowell, Pat",22,13,15,0.866666667
"Dowell, Pat",23,12,14,0.857142857
"Dowell, Pat",24,14,15,0.933333333
"Ervin, Jason C.",3,12,12,1
"Ervin, Jason C.",4,12,14,0.857142857
"Ervin, Jason C.",5,9,12,0.75
"Ervin, Jason C.",6,10,18,0.555555556
"Ervin, Jason C.",7,9,13,0.692307692
"Ervin, Jason C.",8,8,12,0.666666667
"Ervin, Jason C.",9,6,7,0.857142857
"Ervin, Jason C.",10,10,13,0.769230769
"Ervin, Jason C.",11,6,7,0.857142857
"Ervin, Jason C.",12,14,17,0.823529412
"Ervin, Jason C.",13,10,12,0.833333333
"Ervin, Jason C.",14,9,13,0.692307692
"Ervin, Jason C.",15,9,9,1
"Ervin, Jason C.",16,12,14,0.857142857
"Ervin, Jason C.",17,5,6,0.833333333
"Ervin, Jason C.",18,16,16,1
"Ervin, Jason C.",19,2,3,0.666666667
"Ervin, Jason C.",20,13,15,0.866666667
"Ervin, Jason C.",21,10,13,0.769230769
"Ervin, Jason C.",22,10,12,0.833333333
"Ervin, Jason C.",23,12,14,0.857142857
"Ervin, Jason C.",24,12,14,0.857142857
"Fioretti, Bob",3,19,19,1
"Fioretti, Bob",4,12,18,0.666666667
"Fioretti, Bob",5,11,15,0.733333333
"Fioretti, Bob",6,16,19,0.842105263
"Fioretti, Bob",7,12,14,0.857142857
"Fioretti, Bob",8,10,13,0.769230769
"Fioretti, Bob",9,13,14,0.928571429
"Fioretti, Bob",10,19,19,1
"Fioretti, Bob",11,8,10,0.8
"Fioretti, Bob",12,12,14,0.857142857
"Fioretti, Bob",13,15,17,0.882352941
"Fioretti, Bob",14,11,13,0.846153846
"Fioretti, Bob",15,9,10,0.9
"Fioretti, Bob",16,8,10,0.8
"Fioretti, Bob",17,12,12,1
"Fioretti, Bob",18,9,10,0.9
"Foulkes, Toni",3,14,16,0.875
"Foulkes, Toni",4,8,16,0.5
"Foulkes, Toni",5,10,17,0.588235294
"Foulkes, Toni",6,9,15,0.6
"Foulkes, Toni",7,4,13,0.307692308
"Foulkes, Toni",8,7,13,0.538461538
"Foulkes, Toni",9,7,11,0.636363636
"Foulkes, Toni",10,5,15,0.333333333
"Foulkes, Toni",11,4,9,0.444444444
"Foulkes, Toni",12,3,14,0.214285714
"Foulkes, Toni",13,8,16,0.5
"Foulkes, Toni",14,9,13,0.692307692
"Foulkes, Toni",15,7,9,0.777777778
"Foulkes, Toni",16,5,12,0.416666667
"Foulkes, Toni",17,3,9,0.333333333
"Foulkes, Toni",18,9,16,0.5625
"Foulkes, Toni",19,4,5,0.8
"Foulkes, Toni",20,8,12,0.666666667
"Foulkes, Toni",21,7,12,0.583333333
"Foulkes, Toni",22,3,10,0.3
"Foulkes, Toni",23,1,13,0.076923077
"Foulkes, Toni",24,7,11,0.636363636
"Graham, Deborah L.",3,22,22,1
"Graham, Deborah L.",4,21,29,0.724137931
"Graham, Deborah L.",5,14,22,0.636363636
"Graham, Deborah L.",6,7,27,0.259259259
"Graham, Deborah L.",7,15,20,0.75
"Graham, Deborah L.",8,14,21,0.666666667
"Graham, Deborah L.",9,12,18,0.666666667
"Graham, Deborah L.",10,16,24,0.666666667
"Graham, Deborah L.",11,10,12,0.833333333
"Graham, Deborah L.",12,12,18,0.666666667
"Graham, Deborah L.",13,12,20,0.6
"Graham, Deborah L.",14,10,16,0.625
"Graham, Deborah L.",15,10,11,0.909090909
"Graham, Deborah L.",16,9,16,0.5625
"Graham, Deborah L.",17,8,12,0.666666667
"Graham, Deborah L.",18,6,15,0.4
"Hairston, Leslie A.",3,15,16,0.9375
"Hairston, Leslie A.",4,7,14,0.5
"Hairston, Leslie A.",5,7,12,0.583333333
"Hairston, Leslie A.",6,6,13,0.461538462
"Hairston, Leslie A.",7,6,10,0.6
"Hairston, Leslie A.",8,4,13,0.307692308
"Hairston, Leslie A.",9,4,9,0.444444444
"Hairston, Leslie A.",10,5,14,0.357142857
"Hairston, Leslie A.",11,6,8,0.75
"Hairston, Leslie A.",12,6,13,0.461538462
"Hairston, Leslie A.",13,2,7,0.285714286
"Hairston, Leslie A.",14,5,8,0.625
"Hairston, Leslie A.",15,4,4,1
"Hairston, Leslie A.",16,4,8,0.5
"Hairston, Leslie A.",17,2,6,0.333333333
"Hairston, Leslie A.",18,6,11,0.545454545
"Hairston, Leslie A.",19,1,3,0.333333333
"Hairston, Leslie A.",20,8,13,0.615384615
"Hairston, Leslie A.",21,8,10,0.8
"Hairston, Leslie A.",22,7,10,0.7
"Hairston, Leslie A.",23,4,10,0.4
"Hairston, Leslie A.",24,8,10,0.8
"Harris, Michelle A.",3,22,23,0.956521739
"Harris, Michelle A.",4,12,19,0.631578947
"Harris, Michelle A.",5,8,17,0.470588235
"Harris, Michelle A.",6,13,22,0.590909091
"Harris, Michelle A.",7,3,15,0.2
"Harris, Michelle A.",8,8,19,0.421052632
"Harris, Michelle A.",9,7,15,0.466666667
"Harris, Michelle A.",10,12,19,0.631578947
"Harris, Michelle A.",11,7,8,0.875
"Harris, Michelle A.",12,6,14,0.428571429
"Harris, Michelle A.",13,7,13,0.538461538
"Harris, Michelle A.",14,6,9,0.666666667
"Harris, Michelle A.",15,2,9,0.222222222
"Harris, Michelle A.",16,8,10,0.8
"Harris, Michelle A.",17,4,9,0.444444444
"Harris, Michelle A.",18,4,14,0.285714286
"Harris, Michelle A.",19,1,3,0.333333333
"Harris, Michelle A.",20,8,17,0.470588235
"Harris, Michelle A.",21,7,22,0.318181818
"Harris, Michelle A.",22,6,15,0.4
"Harris, Michelle A.",23,8,14,0.571428571
"Harris, Michelle A.",24,10,17,0.588235294
"Holmes, Natashia",9,1,3,0.333333333
"Holmes, Natashia",10,9,14,0.642857143
"Holmes, Natashia",11,5,9,0.555555556
"Holmes, Natashia",12,7,15,0.466666667
"Holmes, Natashia",13,9,16,0.5625
"Holmes, Natashia",14,8,14,0.571428571
"Holmes, Natashia",15,6,8,0.75
"Holmes, Natashia",16,5,11,0.454545455
"Holmes, Natashia",17,7,8,0.875
"Holmes, Natashia",18,7,9,0.777777778
"Hopkins, Brian",18,0,1,0
"Hopkins, Brian",19,2,2,1
"Hopkins, Brian",20,4,5,0.8
"Hopkins, Brian",21,5,6,0.833333333
"Hopkins, Brian",22,8,9,0.888888889
"Hopkins, Brian",23,5,7,0.714285714
"Hopkins, Brian",24,9,9,1
"Jackson, Sandi",3,11,14,0.785714286
"Jackson, Sandi",4,3,12,0.25
"Jackson, Sandi",5,0,15,0
"Jackson, Sandi",6,3,17,0.176470588
"Jackson, Sandi",7,0,14,0
"Jackson, Sandi",8,0,11,0
"Jackson, Sandi",9,0,5,0
"King, Sophia",22,5,7,0.714285714
"King, Sophia",23,7,8,0.875
"King, Sophia",24,6,8,0.75
"Lane, Lona",3,19,19,1
"Lane, Lona",4,11,19,0.578947368
"Lane, Lona",5,13,16,0.8125
"Lane, Lona",6,15,21,0.714285714
"Lane, Lona",7,9,16,0.5625
"Lane, Lona",8,9,17,0.529411765
"Lane, Lona",9,13,15,0.866666667
"Lane, Lona",10,12,17,0.705882353
"Lane, Lona",11,9,10,0.9
"Lane, Lona",12,7,16,0.4375
"Lane, Lona",13,12,14,0.857142857
"Lane, Lona",14,7,12,0.583333333
"Lane, Lona",15,6,7,0.857142857
"Lane, Lona",16,9,13,0.692307692
"Lane, Lona",17,5,8,0.625
"Lane, Lona",18,4,12,0.333333333
"Laurino, Margaret",3,14,15,0.933333333
"Laurino, Margaret",4,13,18,0.722222222
"Laurino, Margaret",5,10,13,0.769230769
"Laurino, Margaret",6,11,19,0.578947368
"Laurino, Margaret",7,8,14,0.571428571
"Laurino, Margaret",8,6,18,0.333333333
"Laurino, Margaret",9,7,10,0.7
"Laurino, Margaret",10,13,18,0.722222222
"Laurino, Margaret",11,6,6,1
"Laurino, Margaret",12,7,13,0.538461538
"Laurino, Margaret",13,5,11,0.454545455
"Laurino, Margaret",14,5,7,0.714285714
"Laurino, Margaret",15,5,8,0.625
"Laurino, Margaret",16,4,9,0.444444444
"Laurino, Margaret",17,2,7,0.285714286
"Laurino, Margaret",18,7,11,0.636363636
"Laurino, Margaret",19,0,4,0
"Laurino, Margaret",20,7,11,0.636363636
"Laurino, Margaret",21,9,13,0.692307692
"Laurino, Margaret",22,7,10,0.7
"Laurino, Margaret",23,7,11,0.636363636
"Laurino, Margaret",24,10,13,0.769230769
"Lopez, Raymond A.",18,4,5,0.8
"Lopez, Raymond A.",19,2,2,1
"Lopez, Raymond A.",20,8,11,0.727272727
"Lopez, Raymond A.",21,11,12,0.916666667
"Lopez, Raymond A.",22,16,17,0.941176471
"Lopez, Raymond A.",23,15,18,0.833333333
"Lopez, Raymond A.",24,14,15,0.933333333
"Maldonado, Roberto",3,10,13,0.769230769
"Maldonado, Roberto",4,5,11,0.454545455
"Maldonado, Roberto",5,2,12,0.166666667
"Maldonado, Roberto",6,5,16,0.3125
"Maldonado, Roberto",7,4,12,0.333333333
"Maldonado, Roberto",8,3,13,0.230769231
"Maldonado, Roberto",9,6,10,0.6
"Maldonado, Roberto",10,5,17,0.294117647
"Maldonado, Roberto",11,2,7,0.285714286
"Maldonado, Roberto",12,6,15,0.4
"Maldonado, Roberto",13,3,8,0.375
"Maldonado, Roberto",14,0,8,0
"Maldonado, Roberto",15,2,8,0.25
"Maldonado, Roberto",16,1,8,0.125
"Maldonado, Roberto",17,1,6,0.166666667
"Maldonado, Roberto",18,1,10,0.1
"Maldonado, Roberto",19,1,2,0.5
"Maldonado, Roberto",20,3,11,0.272727273
"Maldonado, Roberto",21,3,10,0.3
"Maldonado, Roberto",22,5,9,0.555555556
"Maldonado, Roberto",23,4,9,0.444444444
"Maldonado, Roberto",24,5,10,0.5
"Mell, Deborah",11,2,3,0.666666667
"Mell, Deborah",12,4,9,0.444444444
"Mell, Deborah",13,9,11,0.818181818
"Mell, Deborah",14,9,10,0.9
"Mell, Deborah",15,6,6,1
"Mell, Deborah",16,11,11,1
"Mell, Deborah",17,6,7,0.857142857
"Mell, Deborah",18,11,14,0.785714286
"Mell, Deborah",19,2,2,1
"Mell, Deborah",20,7,12,0.583333333
"Mell, Deborah",21,11,16,0.6875
"Mell, Deborah",22,11,12,0.916666667
"Mell, Deborah",23,10,11,0.909090909
"Mell, Deborah",24,8,10,0.8
"Mell, Richard F.",3,16,18,0.888888889
"Mell, Richard F.",4,5,22,0.227272727
"Mell, Richard F.",5,3,20,0.15
"Mell, Richard F.",6,6,25,0.24
"Mell, Richard F.",7,3,18,0.166666667
"Mell, Richard F.",8,8,21,0.380952381
"Mell, Richard F.",9,6,14,0.428571429
"Mell, Richard F.",10,11,22,0.5
"Mell, Richard F.",11,1,3,0.333333333
"Mitchell, Gregory I.",18,3,4,0.75
"Mitchell, Gregory I.",19,1,2,0.5
"Mitchell, Gregory I.",20,14,16,0.875
"Mitchell, Gregory I.",21,13,15,0.866666667
"Mitchell, Gregory I.",22,13,15,0.866666667
"Mitchell, Gregory I.",23,13,14,0.928571429
"Mitchell, Gregory I.",24,17,17,1
"Mitts, Emma",3,20,21,0.952380952
"Mitts, Emma",4,13,23,0.565217391
"Mitts, Emma",5,9,16,0.5625
"Mitts, Emma",6,12,27,0.444444444
"Mitts, Emma",7,10,19,0.526315789
"Mitts, Emma",8,9,22,0.409090909
"Mitts, Emma",9,11,14,0.785714286
"Mitts, Emma",10,16,24,0.666666667
"Mitts, Emma",11,5,11,0.454545455
"Mitts, Emma",12,10,21,0.476190476
"Mitts, Emma",13,11,15,0.733333333
"Mitts, Emma",14,7,14,0.5
"Mitts, Emma",15,7,11,0.636363636
"Mitts, Emma",16,11,14,0.785714286
"Mitts, Emma",17,3,9,0.333333333
"Mitts, Emma",18,8,16,0.5
"Mitts, Emma",19,3,3,1
"Mitts, Emma",20,14,17,0.823529412
"Mitts, Emma",21,10,17,0.588235294
"Mitts, Emma",22,9,17,0.529411765
"Mitts, Emma",23,13,14,0.928571429
"Mitts, Emma",24,15,17,0.882352941
"Moore, David H.",18,4,5,0.8
"Moore, David H.",19,3,4,0.75
"Moore, David H.",20,9,14,0.642857143
"Moore, David H.",21,13,16,0.8125
"Moore, David H.",22,8,13,0.615384615
"Moore, David H.",23,11,14,0.785714286
"Moore, David H.",24,7,12,0.583333333
"Moore, Joseph",3,9,10,0.9
"Moore, Joseph",4,3,10,0.3
"Moore, Joseph",5,5,11,0.454545455
"Moore, Joseph",6,4,10,0.4
"Moore, Joseph",7,4,8,0.5
"Moore, Joseph",8,2,12,0.166666667
"Moore, Joseph",9,2,7,0.285714286
"Moore, Joseph",10,2,13,0.153846154
"Moore, Joseph",11,2,5,0.4
"Moore, Joseph",12,3,11,0.272727273
"Moore, Joseph",13,6,7,0.857142857
"Moore, Joseph",14,2,5,0.4
"Moore, Joseph",15,0,3,0
"Moore, Joseph",16,3,7,0.428571429
"Moore, Joseph",17,3,5,0.6
"Moore, Joseph",18,6,11,0.545454545
"Moore, Joseph",19,1,3,0.333333333
"Moore, Joseph",20,10,13,0.769230769
"Moore, Joseph",21,7,12,0.583333333
"Moore, Joseph",22,7,12,0.583333333
"Moore, Joseph",23,6,13,0.461538462
"Moore, Joseph",24,9,13,0.692307692
"Moreno, Proco Joe",3,15,18,0.833333333
"Moreno, Proco Joe",4,9,15,0.6
"Moreno, Proco Joe",5,6,14,0.428571429
"Moreno, Proco Joe",6,7,16,0.4375
"Moreno, Proco Joe",7,3,12,0.25
"Moreno, Proco Joe",8,2,13,0.153846154
"Moreno, Proco Joe",9,5,9,0.555555556
"Moreno, Proco Joe",10,4,14,0.285714286
"Moreno, Proco Joe",11,3,10,0.3
"Moreno, Proco Joe",12,3,15,0.2
"Moreno, Proco Joe",13,9,15,0.6
"Moreno, Proco Joe",14,6,13,0.461538462
"Moreno, Proco Joe",15,2,11,0.181818182
"Moreno, Proco Joe",16,6,12,0.5
"Moreno, Proco Joe",17,2,8,0.25
"Moreno, Proco Joe",18,5,17,0.294117647
"Moreno, Proco Joe",19,4,6,0.666666667
"Moreno, Proco Joe",20,3,14,0.214285714
"Moreno, Proco Joe",21,10,15,0.666666667
"Moreno, Proco Joe",22,6,10,0.6
"Moreno, Proco Joe",23,6,12,0.5
"Moreno, Proco Joe",24,9,12,0.75
"Munoz, Ricardo",3,9,10,0.9
"Munoz, Ricardo",4,2,14,0.142857143
"Munoz, Ricardo",5,1,14,0.071428571
"Munoz, Ricardo",6,4,16,0.25
"Munoz, Ricardo",7,2,11,0.181818182
"Munoz, Ricardo",8,2,14,0.142857143
"Munoz, Ricardo",9,2,7,0.285714286
